 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
  104.4668    3.0000    4.9996    4.9996    2.9675    1.6943    3.6580    0.8606  2.2284E+00     -0.0173  6.3778E+00
  104.4704    3.0000    4.9996    4.9996    2.9729    1.6981    3.6575    0.8606  2.2554E+00     -0.0173  6.2553E+00
  104.4739    3.0000    4.9996    4.9996    2.9784    1.7018    3.6569    0.8607  2.2826E+00     -0.0173  6.1353E+00
  104.4775    3.0000    4.9996    4.9996    2.9838    1.7056    3.6564    0.8607  2.3098E+00     -0.0173  6.0177E+00
  104.4810    3.0000    4.9996    4.9996    2.9893    1.7094    3.6559    0.8608  2.3372E+00     -0.0173  5.9025E+00
  104.4844    3.0000    4.9996    4.9996    2.9947    1.7131    3.6554    0.8608  2.3648E+00     -0.0173  5.7896E+00
  104.4878    3.0000    4.9996    4.9996    3.0002    1.7169    3.6549    0.8608  2.3925E+00     -0.0173  5.6791E+00
  104.4912    3.0000    4.9996    4.9996    3.0057    1.7207    3.6544    0.8609  2.4203E+00     -0.0173  5.5707E+00
  104.4946    3.0000    4.9996    4.9996    3.0111    1.7244    3.6538    0.8609  2.4482E+00     -0.0173  5.4646E+00
  104.4979    3.0000    4.9996    4.9995    3.0166    1.7282    3.6533    0.8610  2.4762E+00     -0.0173  5.3606E+00
  104.5012    3.0000    4.9996    4.9995    3.0220    1.7320    3.6528    0.8610  2.5044E+00     -0.0173  5.2587E+00
  104.5045    3.0000    4.9996    4.9995    3.0275    1.7357    3.6523    0.8611  2.5327E+00     -0.0173  5.1589E+00
  104.5077    3.0000    4.9996    4.9995    3.0329    1.7395    3.6517    0.8611  2.5610E+00     -0.0173  5.0610E+00
  104.5109    3.0000    4.9996    4.9995    3.0384    1.7433    3.6512    0.8611  2.5895E+00     -0.0173  4.9652E+00
  104.5141    3.0000    4.9996    4.9995    3.0439    1.7471    3.6507    0.8612  2.6181E+00     -0.0173  4.8712E+00
  104.5172    3.0000    4.9996    4.9995    3.0493    1.7509    3.6502    0.8612  2.6467E+00     -0.0173  4.7791E+00
  104.5203    3.0000    4.9996    4.9995    3.0548    1.7546    3.6496    0.8613  2.6755E+00     -0.0173  4.6889E+00
  104.5234    3.0000    4.9996    4.9995    3.0602    1.7584    3.6491    0.8613  2.7043E+00     -0.0173  4.6005E+00
  104.5264    3.0000    4.9996    4.9995    3.0657    1.7622    3.6486    0.8613  2.7332E+00     -0.0173  4.5138E+00
  104.5294    3.0000    4.9996    4.9995    3.0711    1.7660    3.6481    0.8614  2.7621E+00     -0.0173  4.4289E+00
  104.5324    3.0000    4.9996    4.9995    3.0766    1.7698    3.6475    0.8614  2.7912E+00     -0.0173  4.3456E+00
  104.5353    3.0000    4.9996    4.9995    3.0820    1.7735    3.6470    0.8615  2.8202E+00     -0.0173  4.2640E+00
  104.5383    3.0000    4.9996    4.9994    3.0875    1.7773    3.6465    0.8615  2.8493E+00     -0.0173  4.1840E+00
  104.5411    3.0000    4.9996    4.9994    3.0930    1.7811    3.6459    0.8615  2.8785E+00     -0.0173  4.1056E+00
  104.5440    3.0000    4.9996    4.9994    3.0984    1.7849    3.6454    0.8616  2.9077E+00     -0.0173  4.0287E+00
  104.5468    3.0000    4.9996    4.9994    3.1039    1.7887    3.6449    0.8616  2.9369E+00     -0.0173  3.9534E+00
  104.5496    3.0000    4.9996    4.9994    3.1093    1.7925    3.6444    0.8617  2.9661E+00     -0.0173  3.8796E+00
  104.5524    3.0000    4.9996    4.9994    3.1148    1.7963    3.6438    0.8617  2.9953E+00     -0.0173  3.8071E+00
  104.5552    3.0000    4.9996    4.9994    3.1202    1.8001    3.6433    0.8617  3.0245E+00     -0.0173  3.7362E+00
  104.5579    3.0000    4.9996    4.9994    3.1257    1.8039    3.6428    0.8618  3.0536E+00     -0.0173  3.6666E+00
  104.5606    3.0000    4.9996    4.9994    3.1311    1.8077    3.6422    0.8618  3.0828E+00     -0.0173  3.5984E+00
  104.5632    3.0000    4.9996    4.9994    3.1366    1.8115    3.6417    0.8618  3.1119E+00     -0.0173  3.5315E+00
  104.5659    3.0000    4.9996    4.9994    3.1421    1.8153    3.6411    0.8619  3.1410E+00     -0.0173  3.4659E+00
  104.5685    3.0000    4.9996    4.9993    3.1475    1.8191    3.6406    0.8619  3.1700E+00     -0.0173  3.4016E+00
  104.5711    3.0000    4.9996    4.9993    3.1530    1.8229    3.6401    0.8619  3.1989E+00     -0.0173  3.3385E+00
  104.5736    3.0000    4.9996    4.9993    3.1584    1.8267    3.6395    0.8620  3.2278E+00     -0.0173  3.2767E+00
  104.5762    3.0000    4.9996    4.9993    3.1639    1.8305    3.6390    0.8620  3.2566E+00     -0.0173  3.2161E+00
  104.5787    3.0000    4.9996    4.9993    3.1693    1.8343    3.6385    0.8620  3.2852E+00     -0.0173  3.1567E+00
  104.5812    3.0000    4.9996    4.9993    3.1748    1.8381    3.6379    0.8621  3.3137E+00     -0.0173  3.0984E+00
  104.5836    3.0000    4.9996    4.9993    3.1803    1.8419    3.6374    0.8621  3.3421E+00     -0.0173  3.0412E+00
  104.5861    3.0000    4.9996    4.9993    3.1857    1.8457    3.6368    0.8621  3.3704E+00     -0.0173  2.9851E+00
  104.5885    3.0000    4.9996    4.9993    3.1912    1.8495    3.6363    0.8622  3.3985E+00     -0.0173  2.9302E+00
  104.5909    3.0000    4.9996    4.9993    3.1966    1.8533    3.6358    0.8622  3.4264E+00     -0.0173  2.8762E+00
  104.5932    3.0000    4.9996    4.9992    3.2021    1.8571    3.6352    0.8622  3.4541E+00     -0.0173  2.8234E+00
  104.5956    3.0000    4.9996    4.9992    3.2075    1.8610    3.6347    0.8623  3.4816E+00     -0.0173  2.7715E+00
  104.5979    3.0000    4.9996    4.9992    3.2130    1.8648    3.6341    0.8623  3.5088E+00     -0.0173  2.7206E+00
  104.6002    3.0000    4.9996    4.9992    3.2184    1.8686    3.6336    0.8623  3.5358E+00     -0.0173  2.6708E+00
  104.6025    3.0000    4.9996    4.9992    3.2239    1.8724    3.6330    0.8623  3.5626E+00     -0.0173  2.6218E+00
  104.6047    3.0000    4.9996    4.9992    3.2294    1.8762    3.6325    0.8624  3.5891E+00     -0.0173  2.5738E+00
  104.6069    3.0000    4.9996    4.9992    3.2348    1.8800    3.6320    0.8624  3.6152E+00     -0.0173  2.5267E+00
  104.6091    3.0000    4.9996    4.9992    3.2403    1.8839    3.6314    0.8624  3.6411E+00     -0.0173  2.4806E+00
  104.6113    3.0000    4.9996    4.9992    3.2457    1.8877    3.6309    0.8625  3.6666E+00     -0.0173  2.4353E+00
  104.6135    3.0000    4.9996    4.9991    3.2512    1.8915    3.6303    0.8625  3.6917E+00     -0.0173  2.3908E+00
  104.6156    3.0000    4.9996    4.9991    3.2566    1.8953    3.6298    0.8625  3.7164E+00     -0.0173  2.3472E+00
  104.6177    3.0000    4.9996    4.9991    3.2621    1.8992    3.6292    0.8626  3.7408E+00     -0.0173  2.3045E+00
  104.6198    3.0000    4.9996    4.9991    3.2675    1.9030    3.6287    0.8626  3.7647E+00     -0.0173  2.2625E+00
  104.6219    3.0000    4.9996    4.9991    3.2730    1.9068    3.6281    0.8626  3.7881E+00     -0.0173  2.2213E+00
  104.6239    3.0000    4.9996    4.9991    3.2785    1.9106    3.6276    0.8626  3.8111E+00     -0.0173  2.1810E+00
  104.6260    3.0000    4.9996    4.9991    3.2839    1.9145    3.6270    0.8627  3.8335E+00     -0.0173  2.1413E+00
  104.6280    3.0000    4.9996    4.9991    3.2894    1.9183    3.6265    0.8627  3.8554E+00     -0.0173  2.1025E+00
  104.6300    3.0000    4.9996    4.9990    3.2948    1.9221    3.6259    0.8627  3.8768E+00     -0.0173  2.0643E+00
  104.6320    3.0000    4.9996    4.9990    3.3003    1.9260    3.6254    0.8627  3.8975E+00     -0.0173  2.0269E+00
  104.6339    3.0000    4.9996    4.9990    3.3057    1.9298    3.6248    0.8628  3.9176E+00     -0.0173  1.9902E+00
  104.6358    3.0000    4.9996    4.9990    3.3112    1.9336    3.6243    0.8628  3.9371E+00     -0.0173  1.9542E+00
  104.6378    3.0000    4.9996    4.9990    3.3167    1.9375    3.6237    0.8628  3.9559E+00     -0.0173  1.9188E+00
  104.6396    3.0000    4.9996    4.9990    3.3221    1.9413    3.6231    0.8628  3.9740E+00     -0.0173  1.8841E+00
  104.6415    3.0000    4.9996    4.9990    3.3276    1.9451    3.6226    0.8629  3.9913E+00     -0.0173  1.8501E+00
  104.6434    3.0000    4.9996    4.9990    3.3330    1.9490    3.6220    0.8629  4.0079E+00     -0.0173  1.8167E+00
  104.6452    3.0000    4.9996    4.9989    3.3385    1.9528    3.6215    0.8629  4.0236E+00     -0.0173  1.7839E+00
  104.6470    3.0000    4.9996    4.9989    3.3439    1.9567    3.6209    0.8629  4.0385E+00     -0.0173  1.7518E+00
  104.6488    3.0000    4.9996    4.9989    3.3494    1.9605    3.6204    0.8630  4.0525E+00     -0.0173  1.7202E+00
  104.6506    3.0000    4.9996    4.9989    3.3548    1.9643    3.6198    0.8630  4.0655E+00     -0.0173  1.6892E+00
  104.6524    3.0000    4.9996    4.9989    3.3603    1.9682    3.6193    0.8630  4.0776E+00     -0.0173  1.6588E+00
  104.6541    3.0000    4.9996    4.9989    3.3658    1.9720    3.6187    0.8630  4.0887E+00     -0.0173  1.6290E+00
  104.6559    3.0000    4.9996    4.9989    3.3712    1.9759    3.6181    0.8631  4.0987E+00     -0.0173  1.5997E+00
  104.6576    3.0000    4.9996    4.9988    3.3767    1.9797    3.6176    0.8631  4.1076E+00     -0.0173  1.5710E+00
  104.6593    3.0000    4.9996    4.9988    3.3821    1.9836    3.6170    0.8631  4.1154E+00     -0.0173  1.5428E+00
  104.6610    3.0000    4.9996    4.9988    3.3876    1.9874    3.6165    0.8631  4.1220E+00     -0.0173  1.5151E+00
  104.6626    3.0000    4.9996    4.9988    3.3930    1.9913    3.6159    0.8631  4.1273E+00     -0.0173  1.4879E+00
  104.6643    3.0000    4.9996    4.9988    3.3985    1.9951    3.6153    0.8632  4.1314E+00     -0.0173  1.4612E+00
  104.6659    3.0000    4.9996    4.9988    3.4039    1.9990    3.6148    0.8632  4.1341E+00     -0.0173  1.4350E+00
  104.6675    3.0000    4.9996    4.9987    3.4094    2.0028    3.6142    0.8632  4.1354E+00     -0.0173  1.4093E+00
  104.6691    3.0000    4.9996    4.9987    3.4149    2.0067    3.6136    0.8632  4.1355E+00     -0.0173  1.3841E+00
  104.6707    3.0000    4.9996    4.9987    3.4203    2.0106    3.6131    0.8632  4.1355E+00     -0.0173  1.3594E+00
  104.6723    3.0000    4.9996    4.9987    3.4258    2.0144    3.6125    0.8633  4.1354E+00     -0.0173  1.3350E+00
  104.6738    3.0000    4.9996    4.9987    3.4312    2.0183    3.6119    0.8633  4.1354E+00     -0.0173  1.3112E+00
  104.6753    3.0000    4.9996    4.9987    3.4367    2.0221    3.6114    0.8633  4.1353E+00     -0.0173  1.2878E+00
  104.6769    3.0000    4.9996    4.9986    3.4421    2.0260    3.6108    0.8633  4.1353E+00     -0.0173  1.2648E+00
  104.6784    3.0000    4.9996    4.9986    3.4476    2.0298    3.6102    0.8633  4.1353E+00     -0.0173  1.2422E+00
  104.6798    3.0000    4.9996    4.9986    3.4531    2.0337    3.6097    0.8634  4.1352E+00     -0.0173  1.2200E+00
  104.6813    3.0000    4.9996    4.9986    3.4585    2.0376    3.6091    0.8634  4.1352E+00     -0.0173  1.1983E+00
  104.6828    3.0000    4.9996    4.9986    3.4640    2.0414    3.6085    0.8634  4.1352E+00     -0.0173  1.1769E+00
  104.6842    3.0000    4.9996    4.9985    3.4694    2.0453    3.6080    0.8634  4.1351E+00     -0.0173  1.1559E+00
  104.6857    3.0000    4.9996    4.9985    3.4749    2.0492    3.6074    0.8634  4.1351E+00     -0.0173  1.1353E+00
  104.6871    3.0000    4.9996    4.9985    3.4803    2.0530    3.6068    0.8635  4.1350E+00     -0.0173  1.1151E+00
  104.6885    3.0000    4.9996    4.9985    3.4858    2.0569    3.6063    0.8635  4.1350E+00     -0.0173  1.0953E+00
  104.6899    3.0000    4.9996    4.9985    3.4912    2.0608    3.6057    0.8635  4.1350E+00     -0.0173  1.0758E+00
  104.6909    4.0000    4.9996    4.9985    3.4956    2.0638    3.6052    0.8635  4.1349E+00     -0.0173  1.0606E+00
  104.8453    4.0000    4.9996    4.9962    3.4596    2.0384    3.6090    0.8668  4.1294E+00     -0.0173  1.1921E+00
  104.9996    4.0000    4.9996    4.9943    3.4257    2.0145    3.6124    0.8700  4.1242E+00     -0.0173  1.3318E+00
  105.1539    4.0000    4.9996    4.9926    3.3937    1.9920    3.6157    0.8733  4.1193E+00     -0.0173  1.4790E+00
  105.3083    4.0000    4.9996    4.9911    3.3637    1.9709    3.6188    0.8765  4.1145E+00     -0.0173  1.6329E+00
  105.4626    4.0000    4.9996    4.9897    3.3355    1.9511    3.6216    0.8798  4.1099E+00     -0.0173  1.7927E+00
  105.6169    4.0000    4.9996    4.9885    3.3091    1.9325    3.6243    0.8830  4.1055E+00     -0.0173  1.9572E+00
  105.7712    4.0000    4.9996    4.9875    3.2845    1.9152    3.6268    0.8863  4.1012E+00     -0.0173  2.1252E+00
  105.9256    4.0000    4.9996    4.9865    3.2615    1.8992    3.6291    0.8896  4.0969E+00     -0.0173  2.2955E+00
  106.0799    4.0000    4.9996    4.9856    3.2401    1.8842    3.6312    0.8928  4.0928E+00     -0.0173  2.4668E+00
  106.2342    4.0000    4.9996    4.9848    3.2203    1.8704    3.6332    0.8961  4.0887E+00     -0.0173  2.6377E+00
  106.3885    4.0000    4.9996    4.9840    3.2020    1.8576    3.6350    0.8993  4.0847E+00     -0.0173  2.8069E+00
  106.5428    4.0000    4.9996    4.9833    3.1851    1.8458    3.6366    0.9026  4.0807E+00     -0.0173  2.9730E+00
  106.6972    4.0000    4.9996    4.9826    3.1696    1.8350    3.6381    0.9058  4.0768E+00     -0.0173  3.1348E+00
  106.8515    4.0000    4.9996    4.9820    3.1554    1.8252    3.6395    0.9091  4.0729E+00     -0.0173  3.2910E+00
  107.0058    4.0000    4.9996    4.9814    3.1425    1.8162    3.6408    0.9124  4.0690E+00     -0.0173  3.4406E+00
  107.1601    4.0000    4.9996    4.9808    3.1308    1.8081    3.6419    0.9156  4.0652E+00     -0.0173  3.5826E+00
  107.3145    4.0000    4.9996    4.9803    3.1202    1.8007    3.6430    0.9189  4.0614E+00     -0.0173  3.7162E+00
  107.4688    4.0000    4.9996    4.9798    3.1108    1.7942    3.6439    0.9221  4.0577E+00     -0.0173  3.8407E+00
  107.6231    4.0000    4.9996    4.9793    3.1023    1.7883    3.6447    0.9254  4.0539E+00     -0.0173  3.9556E+00
  107.7775    4.0000    4.9996    4.9788    3.0948    1.7831    3.6454    0.9286  4.0502E+00     -0.0173  4.0605E+00
  107.9318    4.0000    4.9996    4.9783    3.0882    1.7786    3.6460    0.9319  4.0464E+00     -0.0173  4.1553E+00
  108.0861    4.0000    4.9996    4.9779    3.0825    1.7746    3.6466    0.9351  4.0427E+00     -0.0173  4.2400E+00
  108.2404    4.0000    4.9996    4.9774    3.0776    1.7712    3.6471    0.9384  4.0390E+00     -0.0173  4.3147E+00
  108.3948    4.0000    4.9996    4.9770    3.0734    1.7683    3.6475    0.9417  4.0353E+00     -0.0173  4.3796E+00
  108.5491    4.0000    4.9996    4.9766    3.0699    1.7659    3.6478    0.9449  4.0317E+00     -0.0173  4.4351E+00
  108.7034    4.0000    4.9996    4.9761    3.0670    1.7639    3.6481    0.9482  4.0280E+00     -0.0173  4.4818E+00
  108.8577    4.0000    4.9996    4.9757    3.0646    1.7623    3.6483    0.9514  4.0243E+00     -0.0173  4.5203E+00
  109.0121    4.0000    4.9996    4.9753    3.0627    1.7610    3.6485    0.9547  4.0206E+00     -0.0173  4.5513E+00
  109.1664    4.0000    4.9996    4.9749    3.0613    1.7600    3.6486    0.9579  4.0170E+00     -0.0173  4.5756E+00
  109.3207    4.0000    4.9996    4.9745    3.0603    1.7593    3.6487    0.9612  4.0133E+00     -0.0173  4.5939E+00
  109.4750    4.0000    4.9996    4.9741    3.0596    1.7588    3.6487    0.9644  4.0096E+00     -0.0173  4.6071E+00
  109.6293    4.0000    4.9996    4.9737    3.0591    1.7585    3.6488    0.9677  4.0060E+00     -0.0173  4.6162E+00
  109.7837    4.0000    4.9996    4.9732    3.0588    1.7584    3.6488    0.9710  4.0023E+00     -0.0173  4.6220E+00
  109.9380    4.0000    4.9996    4.9728    3.0587    1.7583    3.6488    0.9742  3.9986E+00     -0.0173  4.6255E+00
  110.0923    4.0000    4.9996    4.9724    3.0587    1.7583    3.6488    0.9775  3.9950E+00     -0.0173  4.6277E+00
  110.2467    4.0000    4.9996    4.9720    3.0609    1.7583    3.6493    0.9807  3.7735E+00     -0.0173  4.7630E+00
  110.4010    4.0000    4.9996    4.9716    3.0649    1.7583    3.6503    0.9840  3.4098E+00     -0.0173  5.0120E+00
  110.5553    4.0000    4.9996    4.9712    3.0689    1.7584    3.6513    0.9872  3.0790E+00     -0.0173  5.2733E+00
  110.7096    4.0000    4.9996    4.9708    3.0728    1.7584    3.6523    0.9905  2.7786E+00     -0.0173  5.5472E+00
  110.8640    4.0000    4.9996    4.9704    3.0768    1.7584    3.6533    0.9937  2.5062E+00     -0.0173  5.8334E+00
  111.0183    4.0000    4.9996    4.9699    3.0808    1.7585    3.6542    0.9970  2.2596E+00     -0.0173  6.1318E+00
  111.1726    4.0000    4.9996    4.9695    3.0848    1.7586    3.6552    1.0003  2.0367E+00     -0.0173  6.4422E+00
  111.3269    4.0000    4.9996    4.9691    3.0888    1.7587    3.6561    1.0035  1.8356E+00     -0.0173  6.7640E+00
  111.4813    4.0000    4.9996    4.9686    3.0928    1.7588    3.6570    1.0068  1.6543E+00     -0.0173  7.0966E+00
  111.6356    4.0000    4.9996    4.9682    3.0968    1.7590    3.6580    1.0100  1.4911E+00     -0.0173  7.4393E+00
